sensor_type,device_type,timestamps,x,y,z
bmi160_accelerometer,smartphone,1497147986038,0.3879932,2.1579127,13.656402
bmi160_accelerometer,smartphone,1497147986041,0.06466553,2.203418,14.101875
bmi160_accelerometer,smartphone,1497147986043,-0.3161426,1.947151,13.644427
bmi160_accelerometer,smartphone,1497147986046,-0.4406836,1.6262183,13.51749
bmi160_accelerometer,smartphone,1497147986048,-0.61552006,1.2765454,13.091177
bmi160_accelerometer,smartphone,1497147986051,-0.43110353,0.68018556,12.037369
bmi160_accelerometer,smartphone,1497147986054,-0.3065625,0.31853762,11.309282
bmi160_accelerometer,smartphone,1497147986056,-0.12933107,-0.011975098,10.439891
bmi160_accelerometer,smartphone,1497147986059,-0.028740235,-0.26105714,9.821976
bmi160_accelerometer,smartphone,1497147986062,0.1341211,-0.20118165,9.278306
bmi160_accelerometer,smartphone,1497147986064,0.038320314,0.040715333,8.995694
bmi160_accelerometer,smartphone,1497147986066,-0.0071850587,0.50534916,8.5119
bmi160_accelerometer,smartphone,1497147986069,-0.040715333,0.99393314,8.217313
bmi160_accelerometer,smartphone,1497147986072,0.5843848,1.5040723,7.767049
bmi160_accelerometer,smartphone,1497147986074,0.58198977,1.829795,7.661668
bmi160_accelerometer,smartphone,1497147986076,0.23710695,1.9758912,7.7311234
bmi160_accelerometer,smartphone,1497147986079,0.086220704,2.1483326,7.551497
bmi160_accelerometer,smartphone,1497147986081,-0.20118165,2.0453467,7.568262
bmi160_accelerometer,smartphone,1497147986084,-0.16765137,2.0261867,7.34313
bmi160_accelerometer,smartphone,1497147986086,-0.014370117,1.8729054,7.089258
bmi160_accelerometer,smartphone,1497147986089,-1.2621753,1.1352394,3.1231055
bmi160_accelerometer,smartphone,1497147986091,-3.056045,0.8310718,-14.717396
bmi160_accelerometer,smartphone,1497147986093,1.2286451,0.14849122,-9.244776
bmi160_accelerometer,smartphone,1497147986096,1.2166699,-1.3076807,5.949229
bmi160_accelerometer,smartphone,1497147986099,0.2083667,-1.8202149,12.183465
bmi160_accelerometer,smartphone,1497147986101,-0.37362307,-1.0011182,11.132051
bmi160_accelerometer,smartphone,1497147986103,-2.560276,0.06706055,8.375383
bmi160_accelerometer,smartphone,1497147986106,-2.9794044,0.5939649,6.5216384
bmi160_accelerometer,smartphone,1497147986109,-1.8106349,0.4047583,8.643626
bmi160_accelerometer,smartphone,1497147986111,0.22513184,0.045505375,9.951306
bmi160_accelerometer,smartphone,1497147986113,1.8800904,-0.10777588,9.690249
bmi160_accelerometer,smartphone,1497147986115,2.8500733,-0.06706055,8.820857
bmi160_accelerometer,smartphone,1497147986119,3.3482375,0.0071850587,8.808882
bmi160_accelerometer,smartphone,1497147986121,3.5709743,0.0,9.266331
bmi160_accelerometer,smartphone,1497147986123,3.4991236,0.2203418,10.540482
bmi160_accelerometer,smartphone,1497147986126,3.300337,0.6514453,12.051739
bmi160_accelerometer,smartphone,1497147986128,2.8141482,1.104104,12.990586
bmi160_accelerometer,smartphone,1497147986131,2.6512868,1.6094532,13.826448
bmi160_accelerometer,smartphone,1497147986133,2.42376,1.9902613,14.049185
bmi160_accelerometer,smartphone,1497147986136,2.5051906,2.0309765,14.156961
bmi160_accelerometer,smartphone,1497147986139,2.560276,1.7675245,13.972545
bmi160_accelerometer,smartphone,1497147986141,2.5985963,1.4226416,13.637241
bmi160_accelerometer,smartphone,1497147986143,2.5004005,1.092129,13.227694
bmi160_accelerometer,smartphone,1497147986146,2.2393434,0.8047266,12.456497
bmi160_accelerometer,smartphone,1497147986148,1.7411792,0.4622388,11.852952
bmi160_accelerometer,smartphone,1497147986150,1.1879297,0.28740236,10.9644
bmi160_accelerometer,smartphone,1497147986153,0.5963599,0.040715333,10.423125
bmi160_accelerometer,smartphone,1497147986157,0.2203418,0.009580079,9.908196
bmi160_accelerometer,smartphone,1497147986159,-0.17962648,-0.038320314,9.400452
bmi160_accelerometer,smartphone,1497147986161,-0.3784131,-0.25387207,9.127419
bmi160_accelerometer,smartphone,1497147986164,-0.07185059,-0.47181886,8.734636
bmi160_accelerometer,smartphone,1497147986166,0.22513184,-0.5125342,8.339458
bmi160_accelerometer,smartphone,1497147986168,0.26105714,-0.51971924,7.7215433
bmi160_accelerometer,smartphone,1497147986172,0.42152345,-0.51971924,7.5299416
bmi160_accelerometer,smartphone,1497147986174,0.32572266,-0.48618898,7.417376
bmi160_accelerometer,smartphone,1497147986176,0.51732427,-0.5484595,7.391031
bmi160_accelerometer,smartphone,1497147986179,1.3076807,-0.7783814,7.5227566
bmi160_accelerometer,smartphone,1497147986181,2.7231374,-1.1520045,7.95865
bmi160_accelerometer,smartphone,1497147986183,2.7782228,-1.1855347,7.795789
bmi160_accelerometer,smartphone,1497147986186,2.5938063,-1.0538087,7.1443434
bmi160_accelerometer,smartphone,1497147986189,2.2632935,-0.8981324,7.067703
bmi160_accelerometer,smartphone,1497147986191,1.9088306,-0.74006104,7.038963
bmi160_accelerometer,smartphone,1497147986194,1.2789404,-0.44786867,7.1299734
bmi160_accelerometer,smartphone,1497147986196,0.7783814,-0.40715334,7.2114043
bmi160_accelerometer,smartphone,1497147986198,0.41194338,-0.22273682,7.1419487
bmi160_accelerometer,smartphone,1497147986201,0.19878663,-0.100590825,7.204219
bmi160_accelerometer,smartphone,1497147986204,0.047900394,-0.031135255,7.0509377
bmi160_accelerometer,smartphone,1497147986206,-0.05269043,-0.102985844,6.962322
bmi160_accelerometer,smartphone,1497147986209,-0.100590825,-0.05269043,7.060518
bmi160_accelerometer,smartphone,1497147986211,-0.13172609,-0.13891114,7.096443
bmi160_accelerometer,smartphone,1497147986213,-0.07903565,-0.366438,7.2353544
bmi160_accelerometer,smartphone,1497147986216,-0.014370117,-0.44786867,7.36708
bmi160_accelerometer,smartphone,1497147986219,0.1341211,-0.613125,7.2664895
bmi160_accelerometer,smartphone,1497147986221,0.244292,-0.6682105,7.158714
bmi160_accelerometer,smartphone,1497147986224,0.38080812,-0.69695073,7.2593045
bmi160_accelerometer,smartphone,1497147986226,0.34967285,-0.5843848,7.237749
bmi160_accelerometer,smartphone,1497147986229,0.4047583,-0.44786867,7.237749
bmi160_accelerometer,smartphone,1497147986231,0.55324954,-0.37601808,7.1156034
bmi160_accelerometer,smartphone,1497147986233,0.7831714,-0.27542725,7.237749
bmi160_accelerometer,smartphone,1497147986237,1.0083033,-0.39996827,7.3838453
bmi160_accelerometer,smartphone,1497147986239,1.1663746,-0.40954837,7.407796
bmi160_accelerometer,smartphone,1497147986241,1.2454102,-0.44786867,7.6664577
bmi160_accelerometer,smartphone,1497147986244,1.3891114,-0.5460645,7.8269243
bmi160_accelerometer,smartphone,1497147986246,1.468147,-0.6490503,8.0999565
bmi160_accelerometer,smartphone,1497147986248,1.2645704,-0.6658155,8.363408
bmi160_accelerometer,smartphone,1497147986251,1.0274634,-0.81909674,8.789722
bmi160_accelerometer,smartphone,1497147986253,0.8286768,-0.90771246,9.0891
bmi160_accelerometer,smartphone,1497147986257,0.5843848,-0.977168,9.448353
bmi160_accelerometer,smartphone,1497147986259,0.26584718,-1.0442286,9.666299
bmi160_accelerometer,smartphone,1497147986262,-0.038320314,-1.1759547,9.934542
bmi160_accelerometer,smartphone,1497147986264,-0.3903882,-1.3124708,10.3872
bmi160_accelerometer,smartphone,1497147986266,-1.0035132,-1.2789404,10.5620365
bmi160_accelerometer,smartphone,1497147986269,-1.7148341,-1.3819263,10.7943535
bmi160_accelerometer,smartphone,1497147986272,-2.3303542,-1.5495777,11.029065
bmi160_accelerometer,smartphone,1497147986274,-2.7782228,-1.6214283,11.223062
bmi160_accelerometer,smartphone,1497147986277,-3.187771,-1.7507594,11.390714
bmi160_accelerometer,smartphone,1497147986279,-3.542234,-1.8250049,11.527229
bmi160_accelerometer,smartphone,1497147986281,-3.642825,-1.9663111,11.601475
bmi160_accelerometer,smartphone,1497147986284,-3.7985013,-2.1339624,11.639795
bmi160_accelerometer,smartphone,1497147986286,-3.7266505,-2.1531227,11.723621
bmi160_accelerometer,smartphone,1497147986289,-3.7218604,-2.2129982,11.788286
bmi160_accelerometer,smartphone,1497147986292,-3.5781593,-2.2872438,11.757152
bmi160_accelerometer,smartphone,1497147986294,-3.420088,-2.3064039,11.670931
bmi160_accelerometer,smartphone,1497147986297,-3.1925611,-2.3782544,11.711646
bmi160_accelerometer,smartphone,1497147986299,-3.027305,-2.320774,11.424244
bmi160_accelerometer,smartphone,1497147986301,-2.8141482,-2.318379,11.242222
bmi160_accelerometer,smartphone,1497147986304,-2.5123756,-2.548301,10.904525
bmi160_accelerometer,smartphone,1497147986307,-2.3303542,-2.560276,10.638678
bmi160_accelerometer,smartphone,1497147986309,-2.1219873,-2.668052,10.262659
