sensor_type,device_type,timestamps,x,y,z
bmi160_gyroscope,smartphone,1497147986038,0.80493164,-0.4014011,-0.52597386
bmi160_gyroscope,smartphone,1497147986041,0.94015163,-0.4887085,-0.49829102
bmi160_gyroscope,smartphone,1497147986043,1.0359769,-0.5919868,-0.46954346
bmi160_gyroscope,smartphone,1497147986046,1.0913426,-0.74104816,-0.44611952
bmi160_gyroscope,smartphone,1497147986048,1.1264784,-0.8975627,-0.42695448
bmi160_gyroscope,smartphone,1497147986051,1.1296726,-1.0242649,-0.4141778
bmi160_gyroscope,smartphone,1497147986054,1.1062486,-1.1296726,-0.41737196
bmi160_gyroscope,smartphone,1497147986056,1.0711128,-1.2105917,-0.42376032
bmi160_gyroscope,smartphone,1497147986060,1.0381063,-1.2499864,-0.44186062
bmi160_gyroscope,smartphone,1497147986062,0.99764675,-1.2648926,-0.4578315
bmi160_gyroscope,smartphone,1497147986064,0.9539931,-1.2531806,-0.45996094
bmi160_gyroscope,smartphone,1497147986066,0.90927464,-1.205268,-0.46528456
bmi160_gyroscope,smartphone,1497147986069,0.88372123,-1.1648085,-0.45889622
bmi160_gyroscope,smartphone,1497147986072,0.8283556,-1.1392552,-0.46954346
bmi160_gyroscope,smartphone,1497147986074,0.77405465,-1.136061,-0.48125544
bmi160_gyroscope,smartphone,1497147986076,0.7165595,-1.0924072,-0.4897732
bmi160_gyroscope,smartphone,1497147986079,0.67929417,-1.0455594,-0.4897732
bmi160_gyroscope,smartphone,1497147986081,0.62925214,-0.977417,-0.48657906
bmi160_gyroscope,smartphone,1497147986084,0.57282174,-0.92737496,-0.50042045
bmi160_gyroscope,smartphone,1497147986086,0.51213247,-0.8496501,-0.49509686
bmi160_gyroscope,smartphone,1497147986089,0.38223606,-0.6579997,-0.4844496
bmi160_gyroscope,smartphone,1497147986091,-0.08943685,0.5536567,-0.3364529
bmi160_gyroscope,smartphone,1497147986094,-0.7761841,2.7299533,-0.114990234
bmi160_gyroscope,smartphone,1497147986096,-1.1924913,3.4944255,0.011711968
bmi160_gyroscope,smartphone,1497147986099,-1.4373779,3.2303739,0.09263102
bmi160_gyroscope,smartphone,1497147986101,-1.5438504,2.8641086,0.17142063
bmi160_gyroscope,smartphone,1497147986103,-1.6396756,2.7725422,0.28641087
bmi160_gyroscope,smartphone,1497147986106,-1.7408245,2.8949857,0.5046794
bmi160_gyroscope,smartphone,1497147986109,-1.812161,2.893921,0.7240126
bmi160_gyroscope,smartphone,1497147986111,-1.8270671,2.7054646,0.8858507
bmi160_gyroscope,smartphone,1497147986113,-1.7929959,2.5021024,0.9295044
