,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,step_count_value,light_light_intensity,rotation_x,rotation_y,rotation_z,rotation_theta,rotation_phi,proximity_x,proximity_y,proximity_z,step_detect_value,labelwalkupstairs
2017-06-11 02:33:34.588,-0.25853924400000006,-0.34425560636999997,-0.5858823675,-0.041737197325,-0.011499020575,-0.017940605025,,38.833,-0.1024940014,0.197458981,0.961656176,0.1603295165,0.5235988,,,,1.0,0
2017-06-11 02:33:34.688,1.955153752857143,-1.1496255464761904,1.682646466666667,0.136364579925,-0.11690673765,1.17713268775,,,-0.10799205455,0.1905690215,0.9672910985,0.12625277985,0.5235988,,,,,0
2017-06-11 02:33:34.788,-0.37306911350000049,-2.6153082650000004,-4.6307613129999989,-0.912788227075,-2.3290846475,0.679480473,,19.863998,-0.028187812375,0.190290229,0.973175286,0.11965259005,0.5235988,,,,,0
2017-06-11 02:33:34.888,-2.5239802105263163,-8.746989499999998,-5.3987627368421052,0.050707502225,-6.0923797075,4.6138234925,,,-0.0487678813333,0.0350809304762,0.246469967619,0.0514323949524,0.5235988,,,,,0
2017-06-11 02:33:34.988,9.174068130238096,-8.7258745171428576,-1.1889004033333332,2.41213313,-7.07767567535,7.17943669,,8.729,-0.545872309,-0.11131240225,-0.7687131625,0.2701094597,0.5235988,,,,,0
2017-06-11 02:33:35.088,15.028689600000002,4.4038217421052623,-1.2456400784210528,1.0343797614,1.71979608775,1.8642525735,,,-0.603228762105,-0.0498394092105,-0.639135264737,0.472765998421,0.5235988,0.0,0.0,0.0,,0
2017-06-11 02:33:35.188,3.6739063815000002,4.2301179099999997,-1.4792335514999997,-0.082542765275,0.679693444125,-0.35327556055,,0.0,-0.563326709,-0.01174821599,-0.6598140485,0.49704645,0.5235988,,,,,0
2017-06-11 02:33:35.288,-8.1083316199999995,3.8262995349999995,-2.0761750028449999,0.39131283485,-1.18227000075,0.931128121625,,,-0.551900429,-0.0253710815,-0.663130496,0.504461493,0.5235988,,,,,0
2017-06-11 02:33:35.388,0.19886956900000013,-0.78893675900000004,-0.59670730700000008,-0.82912751275,-0.365014148325,2.19112299,,,-0.5996867985,-0.0002831915,-0.5836746885,0.5463152385,0.5235988,,,,,0
2017-06-11 02:33:35.488,0.40738990199999991,-0.38861880900000007,0.17429636899999998,-0.538431129,0.2531116039,2.35192297,,,-0.6099877045,0.09401467445,-0.5240915155,0.5858070115,0.5235988,,,,,0
