value,timestamp,
1.0,1497148414609
1.0,1497148415889
1.0,1497148416290
1.0,1497148416969
1.0,1497148418051
1.0,1497148419090
1.0,1497148420212
1.0,1497148420773
1.0,1497148421694
1.0,1497148422174
1.0,1497148422775
1.0,1497148423495
1.0,1497148424415
1.0,1497148425577
1.0,1497148426097
1.0,1497148426778
1.0,1497148427298
1.0,1497148427978
1.0,1497148428538
1.0,1497148429219
1.0,1497148430060
1.0,1497148430620
1.0,1497148431340
1.0,1497148431821
1.0,1497148432541
1.0,1497148433223
1.0,1497148433822
1.0,1497148434503
1.0,1497148435023
1.0,1497148435744
1.0,1497148436264
1.0,1497148436945
1.0,1497148437585
1.0,1497148438306
1.0,1497148438946
1.0,1497148439587
1.0,1497148440147
1.0,1497148440867
1.0,1497148441668
1.0,1497148442829
1.0,1497148443469
1.0,1497148444030
1.0,1497148444670
1.0,1497148445271
1.0,1497148445951
1.0,1497148446511
1.0,1497148447232
1.0,1497148448113
1.0,1497148448743
1.0,1497148449433
1.0,1497148449954
1.0,1497148450595
1.0,1497148451115
1.0,1497148451836
1.0,1497148452476
1.0,1497148453557
1.0,1497148454038
1.0,1497148454638
1.0,1497148455719
1.0,1497148456279
1.0,1497148456959
1.0,1497148457720
1.0,1497148458401
1.0,1497148458881
1.0,1497148459562
1.0,1497148460282
1.0,1497148460922
1.0,1497148461443
1.0,1497148461924
1.0,1497148462404
1.0,1497148462965
1.0,1497148463445
1.0,1497148463924
1.0,1497148464445
1.0,1497148464966
1.0,1497148465766
1.0,1497148466326
1.0,1497148467007
1.0,1497148467488
1.0,1497148468849
1.0,1497148469209
