label,x,y,z,timestamp,
15,0.017670283,0.008957,0.58262604,0.8124989,0.5235988,1496906648428
15,0.017670283,0.008957,0.58262604,0.8124989,0.5235988,1496906648433
15,0.017670283,0.008957,0.58262604,0.8124989,0.5235988,1496906648438
15,0.017670283,0.008957,0.58262604,0.8124989,0.5235988,1496906648442
15,0.017670283,0.008957,0.58262604,0.8124989,0.5235988,1496906648447
15,0.017670283,0.008957,0.58262604,0.8124989,0.5235988,1496906648453
15,0.017679986,0.008948161,0.5826063,0.81251293,0.5235988,1496906648458
15,0.017678164,0.0089419,0.58255446,0.8125502,0.5235988,1496906648463
15,0.017698975,0.008921996,0.58250576,0.8125849,0.5235988,1496906648468
15,0.017698085,0.008882941,0.5824553,0.81262153,0.5235988,1496906648473
15,0.017722823,0.008835194,0.5823828,0.81267345,0.5235988,1496906648477
15,0.017765481,0.008816069,0.58230585,0.81272787,0.5235988,1496906648482
15,0.017771441,0.0087994505,0.5822439,0.8127723,0.5235988,1496906648487
15,0.017784633,0.008780595,0.5821839,0.8128152,0.5235988,1496906648493
15,0.017803319,0.008763497,0.58214736,0.8128411,0.5235988,1496906648498
15,0.017806457,0.0087611955,0.58212185,0.81285936,0.5235988,1496906648503
15,0.017807562,0.008758897,0.58211553,0.8128638,0.5235988,1496906648508
15,0.017794384,0.0087498985,0.58211064,0.81286776,0.5235988,1496906648513
15,0.017773338,0.008758592,0.5821282,0.81285554,0.5235988,1496906648518
15,0.017763093,0.008763908,0.5821614,0.81283194,0.5235988,1496906648523
15,0.017752346,0.00878222,0.58218557,0.81281465,0.5235988,1496906648527
15,0.017743787,0.00880626,0.58221376,0.8127944,0.5235988,1496906648532
15,0.017717011,0.008808185,0.5822578,0.8127634,0.5235988,1496906648537
15,0.01771421,0.008832956,0.5822993,0.8127335,0.5235988,1496906648542
15,0.017701868,0.008857197,0.5823201,0.8127186,0.5235988,1496906648547
15,0.017706195,0.008867052,0.5823366,0.81270653,0.5235988,1496906648553
15,0.017710268,0.008884484,0.5823424,0.8127022,0.5235988,1496906648558
15,0.017693866,0.00889548,0.5823485,0.81269795,0.5235988,1496906648563
15,0.017692871,0.008897757,0.5823511,0.81269616,0.5235988,1496906648568
15,0.017698044,0.008907395,0.5823437,0.8127012,0.5235988,1496906648573
15,0.017699875,0.008910898,0.5823325,0.8127092,0.5235988,1496906648578
15,0.017709844,0.008897714,0.58230495,0.8127288,0.5235988,1496906648583
15,0.017710367,0.008893443,0.5822838,0.812744,0.5235988,1496906648588
15,0.017696027,0.008892465,0.5822585,0.81276244,0.5235988,1496906648593
15,0.017703166,0.008886397,0.58223236,0.8127811,0.5235988,1496906648598
15,0.017715143,0.008894644,0.5822045,0.8128007,0.5235988,1496906648603
15,0.01772566,0.008884861,0.5822006,0.8128034,0.5235988,1496906648607
15,0.01771108,0.008884338,0.5821744,0.8128224,0.5235988,1496906648613
15,0.017710578,0.008898543,0.582171,0.8128247,0.5235988,1496906648618
15,0.017713554,0.008896841,0.5821769,0.81282043,0.5235988,1496906648623
15,0.017721122,0.008903462,0.5821799,0.8128181,0.5235988,1496906648628
15,0.0177123,0.008901916,0.5821859,0.812814,0.5235988,1496906648633
15,0.017698428,0.008919012,0.582176,0.81282115,0.5235988,1496906648638
15,0.017688952,0.008922522,0.5821756,0.8128217,0.5235988,1496906648643
15,0.017698878,0.008926207,0.5821756,0.8128214,0.5235988,1496906648648
15,0.017690364,0.008938188,0.5821824,0.81281656,0.5235988,1496906648653
