,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelwalkdownstairs,labelwalkupstairs,pca_1,pca_2,pca_3,pca_4
2017-06-11 02:26:25.840,0.660919071396,1.02505293252,2.2846565031,233.933161548,32.6136627337,-1.44839163754,0,1,0.2950983622,0.652849632361,0.458674839692,0.604059474239
2017-06-11 02:26:26.090,-0.601528318061,-0.577131737544,3.03704517517,240.586544455,26.6773731552,1.48610473539,0,1,0.298886856178,0.702802505438,0.534327214749,0.560786333471
2017-06-11 02:26:26.340,5.53213541846,-2.21157921657,1.02682372309,160.70839483,43.6592788098,10.3749946325,0,1,0.28177839935,0.412464794178,-0.0881886152895,0.329351645144
2017-06-11 02:26:26.590,8.7038544666,-1.00655185451,1.13497774179,142.68328897,39.4104576294,19.8141959597,0,1,0.250139232882,0.346027736571,-0.455516584205,0.418036156871
2017-06-11 02:26:26.840,8.15495363665,-0.580437051301,3.08216162778,153.784576145,36.358986024,28.3971939602,0,1,0.23509629732,0.384894714694,-0.481178758384,0.557799963097
2017-06-11 02:26:27.090,8.08439516086,-4.76768406685,1.59473737594,100.148848956,77.0276993383,38.3104980919,0,1,0.194636030818,0.0314722537884,-0.499527659489,0.26614323925
2017-06-11 02:26:27.340,6.51425460131,-7.43924637557,-1.45519339436,73.4107494387,116.638577941,46.1126811741,0,1,0.102744639366,-0.348946356428,-0.326595323301,0.0607410156016
2017-06-11 02:26:27.590,5.03987228845,-6.16868640211,-3.44858550345,84.4812837906,125.611141982,44.2193419862,0,1,0.0608375999719,-0.456780063841,-0.125979276632,0.110452517808
2017-06-11 02:26:27.840,2.48868964356,-6.12606259167,-4.25762603845,83.3513964254,124.809003737,30.1223108314,0,1,0.154179636662,-0.389654781018,0.211772822257,0.0494916516423
2017-06-11 02:26:28.090,1.05969317375,-8.81818858585,-2.74460248152,91.2595471344,114.444047958,18.628622482,0,1,0.24189570909,-0.172931849728,0.373676594031,-0.136273018201
2017-06-11 02:26:28.340,3.9899295721,-10.616128881,-2.3003587697,97.2793778322,107.195924365,19.8040812979,0,1,0.189960564741,-0.105344488485,0.0681117959571,-0.281878674353
2017-06-11 02:26:28.590,2.55728876606,-7.80207683542,-3.76978337151,87.0801778222,125.170772336,19.8727598038,0,1,0.192053142594,-0.279888467759,0.258389707036,-0.118557765777
2017-06-11 02:26:28.840,0.334618449714,-6.68906429107,-3.16993344622,84.2235575752,129.837442419,16.5300000859,0,1,0.256688013993,-0.266820213323,0.492209537074,-0.0195639229098
2017-06-11 02:26:29.090,4.11787105463,-10.2614437342,-2.92500058427,88.9259844395,110.874768841,20.0215128825,0,1,0.190923189376,-0.160657377018,0.0665293161055,-0.277338604839
2017-06-11 02:26:29.340,2.56022882189,-8.44341036214,-3.97077504761,83.0532336249,121.484919314,20.4374719144,0,1,0.19790812779,-0.27653126561,0.246283850845,-0.159548530833
2017-06-11 02:26:29.590,0.0272466422264,-6.6806693235,-3.32663369164,76.742152794,132.616819802,15.8397330523,0,1,0.274615288773,-0.289950766878,0.528565898816,-0.0254670060536
2017-06-11 02:26:29.840,4.22709182821,-10.6027758323,-3.07357284726,85.9582601197,110.383679344,19.3583584754,0,1,0.195697813403,-0.160650852674,0.058621795067,-0.309576677764
2017-06-11 02:26:30.090,2.86331488138,-8.49448167773,-3.43228270155,87.6910632294,114.438394962,21.8840961618,0,1,0.197607224614,-0.227044144865,0.192555112629,-0.140249047335
2017-06-11 02:26:30.340,0.33643636506,-6.59615270757,-2.73342365729,82.204670843,129.511692312,19.5364510386,0,1,0.256493639555,-0.272555925081,0.466442462744,0.0151853707581
