,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelwalkdownstairs,labelwalkupstairs
2017-06-11 02:26:25.840,0.6611914088,1.0217011521,,233.925141,,-1.4487312358,0,1
2017-06-11 02:26:26.090,-0.1175236157,-0.8924322193,,237.2000444,,1.4133725086,0,1
2017-06-11 02:26:26.340,,-1.8316631071,2.2863336462,167.55712614,32.62280292,,0,1
2017-06-11 02:26:26.590,9.567934101,-1.0847261695,-0.2488885096,132.59277014,53.86979854,,0,1
2017-06-11 02:26:26.840,7.510134904,-1.0722981903,4.2094386116,166.18567288,20.76500536,,0,1
2017-06-11 02:26:27.090,8.320250343,-3.703873891,0.9652887079,87.20946334,91.22010976,,0,1
2017-06-11 02:26:27.340,6.7269327404,-8.7748680354,-1.3570084474,84.64050134,106.08494868,46.9057144,0,1
2017-06-11 02:26:27.590,4.4918832609,-5.0420911508,-3.1665033663,76.92984722,131.1775587,43.08134586,0,1
2017-06-11 02:26:27.840,3.1665512185,-6.6044342729,-4.6800121005,86.3102245,124.2768789,31.55961192,0,1
2017-06-11 02:26:28.090,0.4525868627,-9.172230691,-2.3940855667,92.37670574,111.22310042,17.06329006,0,1
2017-06-11 02:26:28.340,4.4176966503,-9.5960374149,-2.4766400018,93.78962388,111.99799888,21.23150654,0,1
2017-06-11 02:26:28.590,2.291267382,-9.045031108,-3.7466250196,90.81111734,121.06895492,18.85953908,0,1
2017-06-11 02:26:28.840,0.5472619768,-5.734275774,-3.1337155575,81.91334266,131.67759866,16.95071285,0,1
2017-06-11 02:26:29.090,3.842976669,-10.589842755,-2.9332763169,89.22204526,111.609851,20.18672542,0,1
2017-06-11 02:26:29.340,2.9375036601,-8.7545951131,-4.0113433857,84.25978404,119.0962169,19.90046356,0,1
2017-06-11 02:26:29.590,-0.3838018966,-6.031641413,-3.2912599275,75.16268064,135.05634062,16.38895828,0,1
2017-06-11 02:26:29.840,4.5307304981,-11.134565991,-3.0189222487,86.87137524,109.33687182,19.16902192,0,1
2017-06-11 02:26:30.090,2.7965292814,-8.4636437525,-3.6242575388,87.84823026,113.53639172,21.48517982,0,1
2017-06-11 02:26:30.340,0.1312906202,-5.9847186081,-2.4459440251,81.33126674,131.76431116,20.49378326,0,1
2017-06-11 02:26:30.590,4.4987569722,-11.443451728,-3.0609069569,95.51548408,107.60875806,23.3242231,0,1
2017-06-11 02:26:30.840,2.7167186731,-7.333526214,-3.5482695102,99.82082228,107.91616138,27.01174822,0,1
2017-06-11 02:26:31.090,0.1317739657,-8.458969831,-2.8858070703,94.52422272,128.16243766,19.88302558,0,1
2017-06-11 02:26:31.340,2.1072819771,-9.042229027,-2.4014143258,121.33657116,108.68473534,21.7638706,0,1
2017-06-11 02:26:31.590,3.718196131,-11.174179624,0.6935498364,152.5165442,91.08964494,26.32410074,0,1
2017-06-11 02:26:31.840,4.0847299411,-10.093762372,-2.3086073092,175.4388154,83.26450514,19.57445452,0,1
