,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelwalking,rotation_phone_phi_outlier,rotation_phone_phi_mixture,simple_dist_outlier,acc_phone_x_outlier,acc_phone_x_mixture,lof,acc_phone_y_outlier,acc_phone_y_mixture,lof,acc_phone_z_outlier,acc_phone_z_mixture,lof,gyr_phone_x_outlier,gyr_phone_x_mixture,lof,lof,lof,lof,lof,lof,lof,lof,lof,lof,lof
2017-06-25 00:23:33.041,1.24026967805,1.30248177561,9.85807615854,-0.0948445282895,0.0192771154211,-0.0246287562895,-0.0191802468,-0.1062626619,-0.743604571,0.659841073,2.0943952,1,0,0,False,415060.827932,False,False,0.0028511263105,1.00092542574,False,0.00177996198399,0.993462979386,False,0.00321946756395,0.971782125526,False,0.0247912813927,1.00092542574,0.993462979386,0.971782125526,1.00074807781,1.00005669862,1.0000659766,0.998914109924,0.999070217417,0.99998056368,1.00689192916,
2017-06-25 00:23:33.141,1.05746104475,1.162243152,9.73168325,-0.013016255965,-0.384871254815,0.0946539988,-0.02323684525,-0.10720028455,-0.74212607,0.6611969245,2.0943952,1,0,0,False,415060.827932,False,False,0.0028511263105,1.00023825038,False,0.00177996198399,0.994836314159,False,0.00321946756395,0.992172711646,False,0.0247912813927,1.00023825038,0.994836314159,0.992172711646,1.000320375,1.00026274789,0.999957615794,0.993789230549,0.996079281471,1.00078762194,0.990951948914,
2017-06-25 00:23:33.241,1.9361937355,-0.7851473189,7.9205694075,-0.5229660139,-2.06836025,0.91222924825,-0.0745184244,-0.1396916595,-0.7270660915,0.6670874045,2.0943952,1,0,0,False,415060.827932,False,False,0.0028511263105,0.99858732579,False,0.00177996198399,0.987195749446,False,0.00321946756395,1.0019862242,False,0.0247912813927,0.99858732579,0.987195749446,1.0019862242,1.00018505351,0.996283627993,1.00039880946,0.989594941002,1.00697124493,0.997770358965,1.00374302451,
2017-06-25 00:23:33.341,5.18964831,-2.3185586175,10.2800829075,0.41066420225,-3.037738575,2.09617616,-0.1920343205,-0.205669365,-0.65846924,0.6956923595,2.0943952,1,0,0,False,415060.827932,False,False,0.0028511263105,1.00108855398,False,0.00177996198399,0.996040331062,False,0.00321946756395,1.06059963136,False,0.0247912813927,1.00108855398,0.996040331062,1.06059963136,0.999666732453,0.999592300134,0.999175630886,1.00295684351,0.998484546391,0.998416709422,0.995476688376,
2017-06-25 00:23:33.441,5.9088127675,-2.5278234625,8.02648913625,4.3667542225,-6.400484295,3.421864545,-0.2775578485,-0.3959844415,-0.459494621,0.7335811165,2.0943952,1,0,0,False,415060.827932,False,False,0.0028511263105,1.00153829402,False,0.00177996198399,0.997196845237,False,0.00321946756395,1.01448964614,False,0.0247912813927,1.00153829402,0.997196845237,1.01448964614,1.04797064927,1.03313501793,1.02568469598,1.00045071725,0.999479413346,1.00017768723,1.00160298065,
2017-06-25 00:23:33.541,11.9997668725,2.14479992,-4.15404181575,3.03531635575,-3.933251665,0.950772281,-0.2735681095,-0.6332690285,-0.1788853247,0.6972352045,2.0943952,1,0,0,False,415060.827932,False,False,0.0028511263105,1.00107548768,False,0.00177996198399,0.999600518326,False,0.00321946756395,1.00009042885,False,0.0247912813927,1.00107548768,0.999600518326,1.00009042885,0.994461932182,1.00465124512,1.00068988352,1.00015089306,1.00036098647,0.999412847751,0.995039737556,
2017-06-25 00:23:33.641,6.7606613525,-1.096020869,-3.01532969438,-1.06863726921,-0.351013017575,0.241426259825,-0.2805165875,-0.698146358,-0.124795613,0.646523078,2.0943952,1,0,0,False,415060.827932,False,False,0.0028511263105,0.998953548858,False,0.00177996198399,0.979841368738,False,0.00321946756395,0.999858496182,False,0.0247912813927,0.998953548858,0.979841368738,0.999858496182,0.99972727003,0.999847180774,1.00041283188,0.999827229654,0.999873178404,0.999767357681,1.00080534106,
2017-06-25 00:23:33.741,5.7472088575,-0.038978947825,-1.308219587,0.0593051485,-0.331608417332,0.9576929845,-0.31009379,-0.706746684,-0.11512345755,0.6251952225,2.0943952,1,0,0,False,415060.827932,False,False,0.0028511263105,0.996260784445,False,0.00177996198399,0.981695760337,False,0.00321946756395,0.999992436908,False,0.0247912813927,0.996260784445,0.981695760337,0.999992436908,0.999696689808,0.999961964669,0.999506248224,0.99987150418,1.00017594466,0.999822196311,0.999805506625,
2017-06-25 00:23:33.841,7.399353245,-5.3280205415,-1.81039534175,-1.65833489375,1.97828456623,2.77429915,-0.3883817885,-0.656974047,-0.08765281725,0.637885403,2.0943952,1,0,0,False,415060.827932,False,False,0.0028511263105,1.00027665361,False,0.00177996198399,0.999864832711,False,0.00321946756395,0.999968877199,False,0.0247912813927,1.00027665361,0.999864832711,0.999968877199,1.00009514167,1.00017924843,0.994273120395,1.00003905361,0.999943184365,0.999935796753,1.0005543973,
2017-06-25 00:23:33.941,12.1625238677,-7.95908012744,1.39353297077,-0.06625247095,1.19086762694,1.0539972975,-0.4968088395,-0.5186623335,-0.10801290035,0.6870327755,2.0943952,1,0,0,False,415060.827932,False,False,0.0028511263105,0.996722403118,False,0.00177996198399,0.999971215546,False,0.00321946756395,0.999953618367,False,0.0247912813927,0.996722403118,0.999971215546,0.999953618367,0.999592955744,1.00004514305,1.00075424203,1.00056645555,1.00073763512,1.00004773582,0.99635585095,
