,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelstanding,labelwalking,labelsitting,labelondesk
2017-06-21 01:56:50.803,-1.1377540783,7.3063187310000002,7.015970523,-0.137151870545,-0.0921151251505,-0.0222055407845,0.177090884359,0.349157540256,0.77744279641,0.492227917179,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:51.053,-2.0086790075000001,4.4544969919999993,6.5954290479999997,-0.32650838916,0.5645914089,-1.04650697342,0.146926565408,0.333188946327,0.766377198367,0.527397166531,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:51.303,-8.4431700242424252,1.4521560479292928,6.2681292555555554,-0.0399863183465,2.38631626869,-2.98550873939,-0.123002038279,0.4364679902,0.6106003358,0.631681874,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:51.553,-11.047171725,1.8128143178,4.2160249145999993,-0.20854756893,0.153501320233,-0.693891541677,-0.3385764514,0.4735748748,0.4215352554,0.6946844466,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:51.803,-10.08312750990099,1.138274582871287,0.22596178530693065,-0.102023792317,1.33353041995,-0.230539189174,-0.376530380392,0.524792345098,0.374644302941,0.662448483922,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:52.053,-7.8484314234000001,-4.6802994406000007,-0.73974971163999992,0.1877747945,0.20627970222,-1.6366837077,-0.483473540612,0.562554771224,0.249769746327,0.618360577143,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:52.303,-4.3012158082500003,-7.5888831419999985,-1.4350478785999998,0.3167022734,1.56496386778,-4.10998526,-0.64626264,0.3972308336,0.00479278254,0.6343512712,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:52.553,3.4978064053960001,-9.7900259760000008,-2.36862651696,-0.98649910904,0.802621199424,-1.00331109851,-0.725046666667,0.261912381176,-0.391977317843,0.497002376863,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:52.803,2.2574018089999996,-7.421159898,-3.1569472325999994,0.18723178527,-0.1523407685,0.299123674488,-0.77125196551,0.277292011837,-0.352719806327,0.450895053061,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:53.053,3.4174295653,-8.5153725860000016,-2.0828288327999998,0.090501573673,0.305799493102,0.02560662207,-0.7363658802,0.3007952022,-0.3785063936,0.4731327588,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:53.303,1.8770726801000002,-8.5575488230000012,-1.6172130509000002,0.11451110997,0.40663954402,0.046006741408,-0.708516424902,0.323325731765,-0.417285913333,0.468001563529,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:53.553,1.7183177188888894,-7.4817752333333329,-2.7196536727272727,-0.531159064832,-0.609331129149,-0.040097519883,-0.710404693673,0.337763065102,-0.42159283551,0.45010583551,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:53.803,3.8674537745999999,-8.3890592080000008,-3.6687629101529997,-0.816320969293,-0.801145961622,0.336216304185,-0.800401948431,0.355737002157,-0.270105932941,0.395935632353,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:54.053,2.2954826128999999,-7.0975448839999986,-4.1020459259999997,1.4483020264,1.04319567549,-0.31341227691,-0.7532480884,0.3279074804,-0.3394950788,0.452623301,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:54.303,1.4262102498560003,-10.987440019000001,-1.76611142436,-0.137583685566,-0.23493143693,-0.020889893142,-0.7237495832,0.3036245726,-0.375552933,0.4925271194,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:54.553,3.0214370305099991,-8.903940540999999,-4.2364544305600011,-1.05181994233,-0.569073900074,0.127404924684,-0.7455553098,0.325903403,-0.3599969888,0.4538920954,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:54.803,2.4437103939370002,-5.3409895370000005,-1.8552540493100003,0.37058797186,-0.01550238633,-0.298144128653,-0.820288923469,0.331412567551,-0.231889857143,0.402985879592,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:55.053,3.0685230921,-10.858252593999998,-4.2292214900000005,0.75863743643,0.30604438273,0.027086588578,-0.7383935314,0.2949756288,-0.3507750104,0.4932064946,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:55.303,1.0172127371870001,-8.5449750000000009,-2.4302024609399999,-0.392670358654,-0.070016275465,-0.048860202441,-0.738766220784,0.304869398431,-0.351071773529,0.487675755882,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:55.553,3.1366614149799994,-7.5135598049999999,-3.3761633774999997,-0.903376068442,-0.640165547387,0.453157350976,-0.8066341864,0.3374540886,-0.2314877364,0.4226953578,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:55.803,1.9715562253700001,-8.2248567550000011,-3.8649629390000007,1.64152819949,0.47638963771,-0.480637891457,-0.76082220449,0.30303111102,-0.299102181633,0.483678380408,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:56.053,1.6460011971359998,-10.190018166000002,-2.1709655541799999,-0.297239111413,-0.17512586979,-0.068802491309,-0.735375123333,0.269582553922,-0.327524245098,0.528115125686,0.5235988,1,0,0,0,0,0
