,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelwalking
2017-06-25 00:23:33.041,1.6894468445,1.319176815,9.78066155,-0.0841132267647,-0.141670976176,-0.067516053,,,,,,1,0,0
2017-06-25 00:23:33.091,0.812481900476,1.2865817381,9.93180435714,-0.103531772381,0.149568427667,0.0100895315238,-0.0191802468,-0.1062626619,-0.743604571,0.659841073,2.0943952,1,0,0
2017-06-25 00:23:33.141,1.1460169,1.27630596,9.932026675,-0.0256066219,-0.14927436163,0.0664388023,-0.0196217817,-0.104052566,-0.742941394,0.660926868,2.0943952,1,0,0
2017-06-25 00:23:33.191,0.9689051895,1.048180344,9.531339825,-0.00042589003,-0.620468148,0.1228691953,-0.0268519088,-0.1103480031,-0.741310746,0.661466981,2.0943952,1,0,0
2017-06-25 00:23:33.241,0.763532258,0.1714834017,8.9020484,-0.1900000713,-1.655912615,0.4954694995,-0.0481125672,-0.125513953,-0.736135042,0.663234798,2.0943952,1,0,0
2017-06-25 00:23:33.291,3.108855213,-1.7417780395,6.939090415,-0.8559319565,-2.480807885,1.328988997,-0.1009242816,-0.153869366,-0.717997141,0.670940011,2.0943952,1,0,0
2017-06-25 00:23:33.341,3.996449525,-2.104623475,11.56303505,-0.098966131,-2.97968448,1.724906755,-0.164519955,-0.176690505,-0.687065186,0.684849807,2.0943952,1,0,0
2017-06-25 00:23:33.391,6.382847095,-2.53249376,8.997130765,0.9202945355,-3.09579267,2.467445565,-0.219548686,-0.234648225,-0.629873294,0.706534912,2.0943952,1,0,0
2017-06-25 00:23:33.441,3.67036756,-2.496568465,12.02647132,3.438580705,,3.207429015,-0.261359843,-0.318067468,-0.540747578,0.731505727,2.0943952,1,0,0
2017-06-25 00:23:33.491,8.147257975,-2.55907846,4.0265069525,,,3.636300075,-0.293755854,-0.473901415,-0.378241664,0.735656506,2.0943952,1,0,0
2017-06-25 00:23:33.541,13.06099995,2.35885478,0.9188492535,3.912596035,-4.59119807,1.50237938,-0.28437427,-0.592298659,-0.227691777,0.717298132,2.0943952,1,0,0
2017-06-25 00:23:33.591,10.938533795,1.93074506,-9.226932885,2.1580366765,-3.27530526,0.399165182,-0.262761949,-0.674239398,-0.1300788724,0.677172277,2.0943952,1,0,0
2017-06-25 00:23:33.641,6.028503835,-0.413380398,-6.1465783375,-1.537674992,-0.0793752045,0.27453918805,-0.268744135,-0.70022016,-0.116560765,0.650932103,2.0943952,1,0,0
2017-06-25 00:23:33.691,7.49281887,-1.77866134,0.11591894875,-0.59959954643,-0.62265083065,0.2083133316,-0.29228904,-0.696072556,-0.133030461,0.642114053,2.0943952,1,0,0
2017-06-25 00:23:33.741,6.139513045,-0.1201102328,-3.676594605,0.1777025017,-0.845125,0.4501122425,-0.302428326,-0.707163653,-0.1243216571,0.626857583,2.0943952,1,0,0
2017-06-25 00:23:33.791,5.35490467,0.04215233715,1.060155431,-0.0590922047,0.181908165335,1.4652737265,-0.317759254,-0.706329715,-0.105925258,0.623532862,2.0943952,1,0,0
2017-06-25 00:23:33.841,8.915580265,-0.437330553,-3.4094302335,-0.9338165475,0.66539951745,2.01531035,-0.353186738,-0.68536099,-0.0887729638,0.63042992,2.0943952,1,0,0
2017-06-25 00:23:33.891,5.883126225,-10.21871053,-0.21136045,-2.38285324,3.291169615,3.53328795,-0.423576839,-0.628587104,-0.0865326707,0.645340886,2.0943952,1,0,0
2017-06-25 00:23:33.941,15.433147325,-9.96567673,2.7910361275,-1.1953128495,2.00711197138,1.860446175,-0.495892942,-0.526096773,-0.1163031382,0.68061074,2.0943952,1,0,0
2017-06-25 00:23:33.991,8.71976233368,-5.84687317737,-0.0775229836842,1.0628079076,0.3746232825,0.24754842,-0.497724737,-0.511227894,-0.0997226625,0.693454811,2.0943952,1,0,0
2017-06-25 00:23:34.041,7.19008828,-1.702379926,2.32077402035,-1.79221136895,-0.421798967737,1.37041239474,-0.508430132,-0.495342406,-0.0954776743,0.697692233,2.0943952,1,0,0
2017-06-25 00:23:34.091,5.25431375,-5.78421193,0.8402926115,-0.089330373,-0.685735751,3.21733098,-0.563791929,-0.475836511,-0.0611880012,0.671829591,2.0943952,1,0,0
2017-06-25 00:23:34.141,8.05936084,-9.636361405,1.3646822025,1.64479641619,-0.984210951,,-0.583321803,-0.426113355,0.02622691637,0.689833553,2.0943952,1,0,0
2017-06-25 00:23:34.191,2.392385115,-5.975573955,-1.4421611245,0.315326536368,-0.954889691579,-0.272121141368,-0.591582484,-0.414194048,0.0948846169,0.685133603,2.0943952,1,0,0
2017-06-25 00:23:34.241,4.679868418,-4.289360365,0.520078529,-0.1673214405,0.7740013985,0.8863830694,-0.593143617,-0.41654073,0.1028001096,0.681117483,2.0943952,1,0,0
2017-06-25 00:23:34.291,2.5009992465,-6.22465602,0.237106957,-0.89942594085,0.6887702183,1.5896867665,-0.614489129,-0.381637921,0.0969163745,0.683476634,2.0943952,1,0,0
2017-06-25 00:23:34.341,0.8766969085,-3.9825584335,3.5555264285,2.457969508,-1.171250082,,-0.63080313,-0.329006297,0.163647366,0.682156969,2.0943952,1,0,0
2017-06-25 00:23:34.391,7.63280777,-17.793199535,-1.8553019699,-0.1545447435,-1.5056267865,1.855495202,-0.619968424,-0.298854933,0.256784865,0.678308557,2.0943952,1,0,0
2017-06-25 00:23:34.441,2.332030568,-16.2613452,-2.79726317,-1.13850981,-0.974648724,1.2245395375,-0.639032343,-0.299634125,0.295807515,0.643560281,2.0943952,1,0,0
2017-06-25 00:23:34.491,-2.261377523,-14.706498375,-3.635879285,-1.646543055,0.25830214185,-1.1197706495,-0.65754651,-0.31474136,0.291462313,0.619176786,2.0943952,1,0,0
2017-06-25 00:23:34.541,-0.932620646,-10.136202145,-3.46343792,-2.14510023,0.224390667,-1.56557076,-0.677872223,-0.348632769,0.24368887,0.599296712,2.0943952,1,0,0
2017-06-25 00:23:34.591,-4.0920107645,-9.19376175,2.372147203,-2.210953465,-0.4789662724,-0.40118815625,-0.703153467,-0.377899263,0.211145234,0.563834091,2.0943952,1,0,0
2017-06-25 00:23:34.641,-0.0973575534,-9.17340415,-1.788480927,-1.512600715,0.0002661845,0.08581678615,-0.725231623,-0.392835888,0.201671993,0.52814683,2.0943952,1,0,0
2017-06-25 00:23:34.691,0.9507030375,-6.382487795,-0.942320477,-0.846562381,0.528848606,-0.04498460572,-0.742154155,-0.393896719,0.184915653,0.50971206,2.0943952,1,0,0
2017-06-25 00:23:34.741,1.593406575,-4.266008975,-0.6541996205,-0.2251359762,0.7142171375,-0.01618381077,-0.751068797,-0.388130064,0.166575895,0.507418575,2.0943952,1,0,0
2017-06-25 00:23:34.791,1.578317935,-2.40855149,-0.614083037,0.3261783195,0.19106479435,0.003087701,-0.752285395,-0.3816887,0.157404837,0.513415142,2.0943952,1,0,0
2017-06-25 00:23:34.841,2.98155989,-3.205494335,-0.869990882,0.9276943805,-0.6227573065,0.2744859495,-0.744116406,-0.380360932,0.170580298,0.521963282,2.0943952,1,0,0
2017-06-25 00:23:34.891,4.46000554,-7.01788646,-3.327400755,1.378445435,-0.33868883805,0.138946536965,-0.728021128,-0.378083875,0.194521591,0.537682033,2.0943952,1,0,0
2017-06-25 00:23:34.941,2.137555005,-9.260463085,-3.84999403,1.237475925,-0.4760915165,-0.3424153685,-0.70647641,-0.379163523,0.208636922,0.559916413,2.0943952,1,0,0
2017-06-25 00:23:34.991,-1.3828843145,-7.489705345,-1.6510068005,1.29614224,-0.8058898995,-0.1717932843,-0.682789439,-0.387928624,0.227605846,0.575656207,2.0943952,1,0,0
2017-06-25 00:23:35.041,-3.7955073745,-18.9857997,-4.190805375,0.71262004145,-0.61956312825,0.374623284,-0.663600722,-0.388835113,0.256957923,0.58510519,2.0943952,1,0,0
2017-06-25 00:23:35.091,3.015449422,-15.04347767,-1.95385704,-0.2399888775,0.876907028,-0.310739815765,-0.664058123,-0.383147898,0.253183352,0.589968445,2.0943952,1,0,0
2017-06-25 00:23:35.141,3.858735809,-8.85271114,0.222018335,-0.9048027985,0.1968675468,-0.523205573,-0.672624615,-0.387619712,0.230464116,0.586632934,2.0943952,1,0,0
2017-06-25 00:23:35.191,1.694955446,-9.124905035,2.4820786055,0.4584170962,-0.020868599665,0.1360185438,-0.673096837,-0.392755801,0.22868248,0.583407832,2.0943952,1,0,0
2017-06-25 00:23:35.241,5.13324557,-9.53433356,-2.708886973,0.5047326,0.08097228955,0.02427571693,-0.665895409,-0.383434929,0.231474876,0.596629641,2.0943952,1,0,0
2017-06-25 00:23:35.291,1.491019465,-7.099676495,-3.14202625,-0.06973944849,-0.13426174858,0.09199218975,-0.66252881,-0.383180801,0.235451929,0.598989868,2.0943952,1,0,0
2017-06-25 00:23:35.341,-0.370389789,-6.1817852,-1.917332965,-0.5434353345,-0.575749722,0.12382744695,-0.666189664,-0.389103759,0.240220788,0.589107501,2.0943952,1,0,0
2017-06-25 00:23:35.391,0.3749403239,-7.02722718,-2.923360965,-0.7211378345,0.147357855835,0.1590165895,-0.675481651,-0.394209497,0.240105149,0.57501475,2.0943952,1,0,0
2017-06-25 00:23:35.441,2.320534505,-5.482199955,-0.0102985825,-0.7338080535,0.318672016,0.11451110905,-0.689273689,-0.391632725,0.229726928,0.5645512,2.0943952,1,0,0
2017-06-25 00:23:35.491,3.70449666,-9.025990775,-3.324167475,-1.099274717,0.0915130625,0.04801907023,-0.703907222,-0.391201422,0.217728695,0.551367164,2.0943952,1,0,0
2017-06-25 00:23:35.541,4.99696897,-15.137242625,-6.005751225,-1.838459615,-0.904376915,-0.7780473565,-0.718037743,-0.410209392,0.208553079,0.521918506,2.0943952,1,0,0
2017-06-25 00:23:35.591,-0.345960577,-18.72534105,-4.6623847395,-2.66175774,-0.9305691355,-1.73970645,-0.726074981,-0.460298081,0.18231306,0.476551402,2.0943952,1,0,0
2017-06-25 00:23:35.641,-2.9574900155,-5.841452915,-0.605700462,-1.3940436635,-0.8779717495,-0.3983666372,-0.733383482,-0.496595631,0.167105554,0.433001617,2.0943952,1,0,0
2017-06-25 00:23:35.691,0.286803601715,-5.53285464,-1.8901494975,-0.128831648235,-0.2584618418,0.1560885973,-0.738376891,-0.506671191,0.169104074,0.411676922,2.0943952,1,0,0
2017-06-25 00:23:35.741,-0.24417225222,-3.96902653,-0.558518573,1.1691206145,0.8788767635,0.286570577,-0.737543046,-0.495146175,0.171425796,0.425857636,2.0943952,1,0,0
2017-06-25 00:23:35.791,-0.28991712777,-1.761297415,-0.7492819,2.04677297,1.15442746,0.5156992655,-0.727514652,-0.469931504,0.175660436,0.467682239,2.0943952,1,0,0
2017-06-25 00:23:35.841,0.553608793,-6.09292995,-1.3570181116,2.593988025,-0.094281341415,1.51504962,-0.71287666,-0.432560435,0.202280986,0.513124348,2.0943952,1,0,0
2017-06-25 00:23:35.891,2.667213615,-11.29814595,-2.001038895,2.21207144,-1.797148325,0.899053281,-0.688729166,-0.407763205,0.264632788,0.537478818,2.0943952,1,0,0
