,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelwalking,acc_phone_x_kalman,acc_phone_y_kalman,acc_phone_z_kalman,gyr_phone_x_kalman,gyr_phone_y_kalman,gyr_phone_z_kalman,rotation_phone_x_kalman,rotation_phone_y_kalman
2017-06-25 00:23:33.041,1.6894468445,1.319176815,9.78066155,-0.0841132267647,-0.141670976176,-0.067516053,,,,,,1,0,0,1.12548646219,0.928334419997,7.86101223414,-0.0813600563843,-0.113974114963,-0.0374098085189,-0.0207965733982,-0.101452653471
2017-06-25 00:23:33.091,0.812481900476,1.2865817381,9.93180435714,-0.103531772381,0.149568427667,0.0100895315238,-0.0191802468,-0.1062626619,-0.743604571,0.659841073,2.0943952,1,0,0,1.04026235698,1.05431681468,8.68493691287,-0.0982291136713,0.0509273746747,-0.00402311591012,-0.0195583708833,-0.105133103295
2017-06-25 00:23:33.141,1.1460169,1.27630596,9.932026675,-0.0256066219,-0.14927436163,0.0664388023,-0.0196217817,-0.104052566,-0.742941394,0.660926868,2.0943952,1,0,0,1.08026625114,1.15707827307,9.31169728116,-0.0409986037064,-0.0852391575721,0.0481136706285,-0.0196015701015,-0.104392035085
2017-06-25 00:23:33.191,0.9689051895,1.048180344,9.531339825,-0.00042589003,-0.620468148,0.1228691953,-0.0268519088,-0.1103480031,-0.741310746,0.661466981,2.0943952,1,0,0,1.03386106294,1.10337045769,9.42749307378,-0.00897575670465,-0.452203058462,0.103612920471,-0.0244767050154,-0.108429005493
2017-06-25 00:23:33.241,0.763532258,0.1714834017,8.9020484,-0.1900000713,-1.655912615,0.4954694995,-0.0481125672,-0.125513953,-0.736135042,0.663234798,2.0943952,1,0,0,0.917754744416,0.636630637447,9.14761879024,-0.151862682778,-1.2781409708,0.394595660523,-0.040346953625,-0.119994953121
2017-06-25 00:23:33.291,3.108855213,-1.7417780395,6.939090415,-0.8559319565,-2.480807885,1.328988997,-0.1009242816,-0.153869366,-0.717997141,0.670940011,2.0943952,1,0,0,1.86788895222,-0.559128070703,7.96864478038,-0.707603477276,-2.10342734056,1.08846260532,-0.081015235725,-0.142923853964
2017-06-25 00:23:33.341,3.996449525,-2.104623475,11.56303505,-0.098966131,-2.97968448,1.724906755,-0.164519955,-0.176690505,-0.687065186,0.684849807,2.0943952,1,0,0,2.79371903781,-1.33686071375,9.88835576879,-0.227189588133,-2.70473160686,1.56107728239,-0.13707477305,-0.165779508321
2017-06-25 00:23:33.391,6.382847095,-2.53249376,8.997130765,0.9202945355,-3.09579267,2.467445565,-0.219548686,-0.234648225,-0.629873294,0.706534912,2.0943952,1,0,0,4.35634626856,-1.93867225836,9.41231559192,0.678550602875,-2.97308536084,2.2341339386,-0.192442199965,-0.212394657728
2017-06-25 00:23:33.441,3.67036756,-2.496568465,12.02647132,3.438580705,,3.207429015,-0.261359843,-0.318067468,-0.540747578,0.731505727,2.0943952,1,0,0,4.05759398702,-2.21950040221,10.8086754339,2.85711692011,-2.97308536084,2.95688941816,-0.238708849587,-0.283921366034
2017-06-25 00:23:33.491,8.147257975,-2.55907846,4.0265069525,,,3.636300075,-0.293755854,-0.473901415,-0.378241664,0.735656506,2.0943952,1,0,0,5.83886861575,-2.39043616523,7.18593980246,2.85711692011,-2.97308536084,3.46141043915,-0.275663693453,-0.41251308786
2017-06-25 00:23:33.541,13.06099995,2.35885478,0.9188492535,3.912596035,-4.59119807,1.50237938,-0.28437427,-0.592298659,-0.227691777,0.717298132,2.0943952,1,0,0,8.98460454208,0.000255657392279,3.83833254556,3.7755929948,-4.32972213552,2.0066609384,-0.281511384041,-0.534204492133
2017-06-25 00:23:33.591,10.938533795,1.93074506,-9.226932885,2.1580366765,-3.27530526,0.399165182,-0.262761949,-0.674239398,-0.1300788724,0.677172277,2.0943952,1,0,0,9.83568389372,0.972023673318,-3.14056552639,2.4931034788,-3.59108137398,0.812956693171,-0.268924280885,-0.628989860661
2017-06-25 00:23:33.641,6.028503835,-0.413380398,-6.1465783375,-1.537674992,-0.0793752045,0.27453918805,-0.268744135,-0.70022016,-0.116560765,0.650932103,2.0943952,1,0,0,8.17737277142,0.274640060943,-4.74624729214,-0.689129721964,-1.17635767136,0.413135267614,-0.268803347043,-0.677203489263
2017-06-25 00:23:33.691,7.49281887,-1.77866134,0.11591894875,-0.59959954643,-0.62265083065,0.2083133316,-0.29228904,-0.696072556,-0.133030461,0.642114053,2.0943952,1,0,0,7.87919812204,-0.758949263102,-2.14908875751,-0.618460510271,-0.796316861728,0.26103731372,-0.284570060492,-0.689975401891
2017-06-25 00:23:33.741,6.139513045,-0.1201102328,-3.676594605,0.1777025017,-0.845125,0.4501122425,-0.302428326,-0.707163653,-0.1243216571,0.626857583,2.0943952,1,0,0,7.12143436596,-0.437370951958,-2.96501613993,0.00997269677936,-0.829810631803,0.401441764233,-0.296558899633,-0.701609592083
2017-06-25 00:23:33.791,5.35490467,0.04215233715,1.060155431,-0.0590922047,0.181908165335,1.4652737265,-0.317759254,-0.706329715,-0.105925258,0.623532862,2.0943952,1,0,0,6.35197768418,-0.195988876627,-0.814943907123,-0.0445420959116,-0.135548167091,1.19142876057,-0.31079137985,-0.704804491843
