,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelwalking
2017-06-25 00:23:33.041,1.6894468444999997,1.3191768150000001,9.7806615500000014,-0.0841132267647,-0.141670976176,-0.067516053,,,,,,1,0,0
2017-06-25 00:23:33.091,0.81248190047619051,1.2865817380952382,9.9318043571428571,-0.103531772381,0.149568427667,0.0100895315238,-0.0191802468,-0.1062626619,-0.743604571,0.659841073,2.0943952,1,0,0
2017-06-25 00:23:33.141,1.1460169,1.27630596,9.9320266750000012,-0.0256066219,-0.14927436163,0.0664388023,-0.0196217817,-0.104052566,-0.742941394,0.660926868,2.0943952,1,0,0
2017-06-25 00:23:33.191,0.96890518950000004,1.0481803439999999,9.5313398249999999,-0.00042589003,-0.620468148,0.1228691953,-0.0268519088,-0.1103480031,-0.741310746,0.661466981,2.0943952,1,0,0
2017-06-25 00:23:33.241,0.76353225799999991,0.17148340170000004,8.9020484,-0.1900000713,-1.655912615,0.4954694995,-0.0481125672,-0.125513953,-0.736135042,0.663234798,2.0943952,1,0,0
2017-06-25 00:23:33.291,3.108855213,-1.7417780395000002,6.9390904150000008,-0.8559319565,-2.480807885,1.328988997,-0.1009242816,-0.153869366,-0.717997141,0.670940011,2.0943952,1,0,0
2017-06-25 00:23:33.341,3.9964495250000001,-2.1046234749999999,11.56303505,-0.098966131,-2.97968448,1.724906755,-0.164519955,-0.176690505,-0.687065186,0.684849807,2.0943952,1,0,0
2017-06-25 00:23:33.391,6.3828470949999989,-2.5324937599999999,8.9971307649999996,0.9202945355,-3.09579267,2.467445565,-0.219548686,-0.234648225,-0.629873294,0.706534912,2.0943952,1,0,0
2017-06-25 00:23:33.441,3.6703675600000003,-2.4965684650000002,12.026471320000002,3.438580705,-5.847306735,3.207429015,-0.261359843,-0.318067468,-0.540747578,0.731505727,2.0943952,1,0,0
2017-06-25 00:23:33.491,8.1472579750000005,-2.5590784599999998,4.0265069524999992,5.29492774,-6.953661855,3.636300075,-0.293755854,-0.473901415,-0.378241664,0.735656506,2.0943952,1,0,0
2017-06-25 00:23:33.541,13.060999950000001,2.3588547799999997,0.9188492534999998,3.912596035,-4.59119807,1.50237938,-0.28437427,-0.592298659,-0.227691777,0.717298132,2.0943952,1,0,0
2017-06-25 00:23:33.591,10.938533795000001,1.93074506,-9.2269328849999983,2.1580366765,-3.27530526,0.399165182,-0.262761949,-0.674239398,-0.1300788724,0.677172277,2.0943952,1,0,0
