,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rot_phone_x,rot_phone_y,rot_phone_z,rot_phone_theta,rot_phone_phi,labelstairsdown,labelstairsup,labelstanding,labelwalking,labelsitting,labelondesk
2017-06-21 01:56:50.795,-1.122531040102041,7.3269760122448977,7.034050476530612,-0.133023304662,-0.0885626545221,-0.0214626023905,0.177102335,0.349736195526,0.777359950789,0.491947370263,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:51.045,-1.9549587185000001,4.6181726389999991,6.6090088079999996,-0.33192783656,0.4868239401,-0.97679946811,0.1497282793,0.332951731,0.767561929,0.5251994708,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:51.295,-8.1587541780000006,1.4093014074499999,6.2880761429999996,-0.044058297723,2.4277313574,-2.989469298,-0.115894927479,0.4337501354,0.6159871944,0.629650314,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:51.545,-11.152154863636364,1.8604222250505054,4.2587319854545456,-0.225345155626,0.147792353569,-0.735638524886,-0.3372119152,0.4741492704,0.4226250864,0.6942313016,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:51.795,-10.075800183168319,1.1809106752475249,0.17248881798019799,-0.0819205308614,1.34100457475,-0.210003712085,-0.3736906554,0.5218123298,0.3767653854,0.6653830868,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:52.045,-8.3077182903030309,-4.5888333958585861,-0.32136807842424242,0.251414771545,0.146888945121,-1.52972934505,-0.480519265,0.5642161526,0.254418572,0.6172250624,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:52.295,-4.2496749874500006,-6.710318087000001,-1.6791243328999998,0.25181796715,1.49356344778,-4.025637796,-0.6429854252,0.4016059688,0.01389176754,0.6353803484,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:52.545,3.3209674015801975,-10.474653958415844,-2.2742489897623765,-0.926605407713,1.01955268458,-1.2255504935,-0.7233702678,0.2613145908,-0.3890102484,0.5016462336,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:52.795,2.3415149009999996,-7.4289676690000013,-3.1417149075999999,0.12810763727,-0.2567263501,0.296706750208,-0.771069878,0.2771919936,-0.3543650112,0.4498920352,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:53.045,3.4048470063636365,-8.3940358010101015,-2.2076516914141413,0.104074121084,0.302811919699,0.037061013101,-0.7368216006,0.300496937,-0.3778601284,0.4731342612,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:53.295,1.9329705387128711,-8.6643273425742571,-1.55183043980198,0.110436167228,0.407272896752,0.0403962763941,-0.7094372362,0.3226199654,-0.4161676474,0.4680952792,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:53.545,1.8060141451515153,-7.4159968666666671,-2.5809602595959595,-0.496376669255,-0.520725518837,-0.0613238231646,-0.7089391998,0.337869249,-0.4232114346,0.4509222972,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:53.795,3.8150746947999994,-8.5710088459999998,-3.7432480271529989,-0.885520635,-0.890737786106,0.380915801343,-0.7989654714,0.3553228982,-0.2736332618,0.3964471046,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:54.045,2.0848645857000001,-6.8582105760000003,-4.1385939229999993,1.4818195506,1.0676204531,-0.35314779171,-0.7574544164,0.3291561376,-0.3324678482,0.4495211342,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:54.295,1.6414506647860001,-11.098928179,-1.7713804643600002,-0.132398477766,-0.25794013134,-0.009082099462,-0.7230676962,0.3039018456,-0.3767045818,0.4924199106,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:54.545,2.7895512305799999,-8.6633368809999993,-4.2845703749999995,-0.98332621933,-0.514187357174,0.107228396904,-0.742637506,0.3247848336,-0.3640626738,0.4566864118,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:54.795,2.6578186156939396,-5.5026422292929302,-1.7483159422929291,0.24284233586,-0.11426622333,-0.259899227853,-0.819870233,0.3323648338,-0.2325470466,0.4027141502,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:55.045,3.0592463050495047,-10.68980256831683,-4.2516341277227729,0.83569154203,0.37878635553,0.014576076778,-0.7396670462,0.2951760362,-0.3494725398,0.4919051252,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:55.295,1.0209073567545455,-8.8259860282828271,-2.3393777534747477,-0.377050853254,-0.050095281965,-0.062914564441,-0.737859754,0.3045087168,-0.3519908064,0.4886444014,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:55.545,3.0813231805742567,-7.4964114673267348,-3.3409101103960395,-0.989881806507,-0.729035081502,0.495247411895,-0.8044070296,0.335828189,-0.2364453064,0.4248513468,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:55.795,1.8889998953699998,-8.0316026099999984,-4.1423780649999999,1.66610393646,0.511752929713,-0.508063294116,-0.7637601596,0.305597966,-0.2943703606,0.4799304534,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:56.045,1.7555494001360004,-10.347562568999999,-1.9607786271800001,-0.301412831053,-0.16985548389,-0.058751493109,-0.7348313386,0.2694794876,-0.3283234678,0.528411512,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:56.295,2.9909198610101018,-8.3107665030303028,-4.3009714350505046,-0.91587593111,-0.85940295185,0.243427941824,-0.7734565102,0.265124905,-0.2656180734,0.5076893302,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:56.545,1.7006536428712875,-5.6881004960396035,-2.7678127393069301,1.08628507754,0.14549458702,-0.3201519824,-0.803183047,0.2494139688,-0.1866524826,0.5053436618,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:56.795,3.9591851309090909,-12.237606806060604,-1.6683852101010102,0.610710858687,-1.17863916615,0.0501173322626,-0.7257200858,0.1617692997,-0.210321938,0.6314944072,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:57.045,1.8926346352613861,-8.9771264099009898,0.60795558107920789,1.29018243257,-1.53342451885,-0.659222531881,-0.6985230128,0.002137550014,-0.11794230152,0.700443295,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:57.295,1.1683341209090909,-10.31365611111111,-2.4832241056565656,0.00624853830707,-0.958230450633,0.356650413589,-0.6335255324,-0.1269444447,-0.036583877318,0.761046979,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:57.545,6.5883876582000003,-8.705010230000001,-1.054766647513,-1.43932639879,-1.995762,-0.002438221463,-0.7395323598,-0.2308911086,0.10028882838,0.6165912002,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:57.795,0.98858668363636382,-7.1269493545454559,-4.3226233682828283,0.845071752823,-0.17372043072,-0.24360894473,-0.7157252216,-0.3441038748,0.1719615144,0.5812371456,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:58.045,5.0881124867326735,-9.7462123099009919,0.46299761108910897,0.47043783152,-1.15596064163,-0.41842604287,-0.6396106572,-0.4162139858,0.2463923574,0.5950699408,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:58.295,1.4521802443939391,-8.8313567151515162,-1.0677191064949494,1.2239219941,-1.362176464,-0.4672649488,-0.4941768908,-0.5024037208,0.3502751722,0.6132856392,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:58.545,3.0123418834950493,-10.051280871287128,-3.5856526981188122,-0.76293891681,-1.4978968847,0.48293769426,-0.390887963,-0.5871153928,0.4492545992,0.5443701882,0.5235988,1,0,0,0,0,0
2017-06-21 01:56:58.795,2.7532427036999998,-6.9689562700000014,-0.85090257554000004,-0.70471978611,-1.69723458231,-0.17911858886,-0.3731244238,-0.7488551068,0.4548870624,0.295386491,0.5235988,1,0,0,0,0,0
