,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rot_phone_x,rot_phone_y,rot_phone_z,rot_phone_theta,rot_phone_phi,labelstairsdown,labelstairsup,labelstanding,labelwalking,labelsitting,labelondesk,pca_1,pca_2,pca_3,pca_4
2017-06-21 01:56:50.795,-1.32002793994e+16,-5.15341397485e+14,1.69923569822e+14,8.01876379619e+13,-1.16013034286e+15,-8.04495015604e+15,-9.24489592558e+13,-1.87948948677e+15,7.12415668463e+13,3.76632407319e+14,2.8454052202e+14,1,0,0,0,0,0,1.68252995766,-0.0498103672515,0.134769266854,0.00266946863689
2017-06-21 01:56:51.795,1.27708164329e+16,4.83392365004e+14,-1.61050910525e+14,-7.76751326275e+13,1.1210578127e+15,7.7889697782e+15,8.95619130954e+13,1.81052779524e+15,-6.88052113712e+13,-3.61806729376e+14,-2.75539846695e+14,1,0,0,0,0,0,-1.62296122292,0.0555169307332,-0.115450202978,-0.00207364374312
2017-06-21 01:56:52.795,-1.23552536581e+16,-4.53856246013e+14,1.52567053319e+14,7.52398394832e+13,-1.08321507851e+15,-7.54026579438e+15,-8.67597609756e+13,-1.74386331969e+15,6.64467882434e+13,3.47512983425e+14,2.66824210703e+14,1,0,0,0,0,0,1.55897741894,-0.0598330322142,0.0970555088592,0.00153349470061
2017-06-21 01:56:53.795,1.195314541e+16,4.26583351092e+14,-1.44457632276e+14,-7.28794672728e+13,1.04656623548e+15,7.29866200993e+15,8.40402934865e+13,1.67943043804e+15,-6.4163989593e+13,-3.33734295708e+14,-2.58384024079e+14,1,0,0,0,0,0,-1.50429369475,0.0632329748635,-0.0806676000894,-0.00106808561767
2017-06-21 01:56:54.795,-1.1564059769e+16,-4.01431512536e+14,1.36708727804e+14,7.05917908197e+13,-1.01107636647e+15,-7.0639857633e+15,-8.14013460512e+13,-1.6171649897e+15,6.19545749352e+13,3.2045425786e+14,2.50210059311e+14,1,0,0,0,0,0,1.44500075121,-0.0654332035608,0.0650370560894,0.000648599218253
2017-06-21 01:56:55.795,1.118757818e+16,3.78265775821e+14,-1.29306855185e+14,-6.83746489121e+13,9.76711515129e+14,6.83606784589e+15,7.88407983848e+13,1.55700425477e+15,-5.98163688352e+13,-3.07656915448e+14,-2.42293436593e+14,1,0,0,0,0,0,-1.39482115754,0.066897185441,-0.0512539828068,-0.000294616341281
2017-06-21 01:56:56.795,-1.08232950783e+16,-3.56958101174e+14,1.22238953336e+14,6.622594229e+13,-9.4343865967e+14,-6.61474242696e+15,-7.63565739647e+13,-1.49888693343e+15,5.77472586818e+13,2.95326756813e+14,2.34625609639e+14,1,0,0,0,0,0,1.33985277063,-0.0673310028148,0.0380763583802,-2.21812495419e-05
2017-06-21 01:56:57.795,1.04708175248e+16,3.37387075016e+14,-1.15492373804e+14,-6.41436317258e+13,9.11225687492e+14,6.39984698293e+15,7.39466395096e+13,1.44275312561e+15,-5.57451925635e+13,-2.83448702212e+14,-2.27198352045e+14,1,0,0,0,0,0,-1.29382506011,0.0671882176907,-0.0266014046122,0.000281731297144
2017-06-21 01:56:58.795,-1.01297648493e+16,-3.19437631021e+14,1.09054869986e+14,6.21257361926e+13,-8.80041370437e+14,-6.19122223077e+15,-7.16090044657e+13,-1.38854431079e+15,5.38081772417e+13,2.72008093234e+14,2.2000374417e+14,1,0,0,0,0,0,1.24284253609,-0.0661654490636,0.0155939412324,-0.000511888133341
2017-06-21 01:56:59.795,9.79976830193e+15,3.03000780568e+14,-1.02914586572e+14,-6.01703311157e+13,8.49855340778e+14,5.9887120652e+15,6.93417204991e+13,1.33620332796e+15,-5.19342762178e+13,-2.60990682494e+14,-2.1303416053e+14,1,0,0,0,0,0,-1.20064108235,0.0647072221905,-0.00615776578744,0.000692142965883
